N		gflops		error
64		24.3855		0
192		31.7394		0
320		27.3237		0
448		30.3681		0
576		29.715		0
704		31.7834		0
832		31.675		0
960		32.5846		0
1088		33.1963		0
1216		33.0661		0
1344		32.3765		0
1472		26.3123		0
1600		26.8314		0
1728		28.8997		0
1856		27.7752		0
1984		27.3947		0
2112		27.8869		0
2240		28.0919		0
2368		28.0815		0
