N		gflops		error
40		11.8519		9.14105e-06
80		6.53895		3.06268e-05
120		12.8		6.06872e-05
160		12.806		0.000100197
200		11.3266		0.00014788
240		6.87197		0.000202516
280		7.49522		0.000264577
320		10.1976		0.000335882
360		10.1275		0.000408462
400		10.6784		0.000490421
440		10.208		0.000582557
480		9.84764		0.000675235
520		9.33401		0.000774592
560		9.20427		0.000881669
600		9.95903		0.000992625
640		8.36261		0.00111181
680		10.2294		0.00123871
720		10.3848		0.00136568
760		9.80608		0.00149722
800		10.2901		0.00164211
