N		gflops		error
40		2.7234		0
80		2.75047		0
120		8.10697		0
160		9.05393		0
200		8.73935		0
240		8.24846		0
280		8.66709		0
320		7.80181		0
360		6.90101		0
400		7.16625		0
440		7.77233		0
480		7.44971		0
520		7.75112		0
560		6.82718		0
600		7.63668		0
640		7.37266		0
680		7.53902		0
720		7.50306		0
760		7.45363		0
800		7.35407		0
