N		gflops		error
40		5.40084		1.11918e-05
80		5.39515		3.76288e-05
120		4.79667		7.81785e-05
160		5.17989		0.000130349
200		5.07663		0.000191464
240		5.02718		0.000263205
280		5.00388		0.000344888
320		4.90209		0.000435289
360		4.89236		0.0005357
400		4.73016		0.000640802
440		4.88214		0.000760478
480		4.49703		0.000885393
520		4.72529		0.00101688
560		4.96882		0.00116342
600		4.90665		0.00131379
640		4.90002		0.00146367
680		4.93254		0.00163731
720		4.75856		0.00180244
760		4.93284		0.00198206
800		4.9637		0.00216972
