N		gflops		error
40		13.3333		1.20382e-05
80		13.951		4.16846e-05
120		13.206		8.53522e-05
160		20.1377		0.000142558
200		26.6845		0.000210629
240		25.4048		0.000291084
280		25.1095		0.000382075
320		24.5251		0.000485433
360		26.2009		0.000596749
400		28.365		0.000714613
440		11.7397		0.000850171
480		11.7585		0.00099475
520		11.8311		0.00114296
560		12.6928		0.00130461
600		11.5197		0.00147259
640		9.70167		0.00165321
680		11.8313		0.00184163
720		12.0872		0.0020257
760		25.4063		0.00223624
800		27.1725		0.00244736
