N		gflops		error
40		3.78698		1.1743e-05
80		3.03948		3.73293e-05
120		2.87569		7.76695e-05
160		2.93883		0.000128961
200		2.81745		0.000193254
240		2.6924		0.000265159
280		2.60079		0.000348489
320		2.45552		0.000435606
360		2.45808		0.000536928
400		2.48547		0.00064609
440		2.3454		0.000762633
480		2.40978		0.000886822
520		2.45805		0.00101791
560		2.42628		0.00116397
600		2.39966		0.00131489
640		2.35533		0.00146855
680		2.36957		0.00163414
720		2.30973		0.00180562
760		2.35867		0.00198468
800		2.35045		0.00216827
