N		gflops		error
40		5.47009		0
80		5.35845		0
120		7.94483		0
160		8		0
200		8.71745		0
240		8.69543		0
280		8.94121		0
320		8.61568		0
360		8.59298		0
400		8.17667		0
440		8.51478		0
480		8.69971		0
520		9.17555		0
560		9.10715		0
600		8.90465		0
640		8.38647		0
680		8.79641		0
720		8.10707		0
760		8.26465		0
800		8.43016		0
