N		gflops		error
40		4.28094		0
80		3.39298		0
120		3.59289		0
160		3.28851		0
200		3.04884		0
240		2.837		0
280		2.77322		0
320		2.63353		0
360		2.6477		0
400		2.62269		0
440		2.59769		0
480		2.54617		0
520		2.55299		0
560		2.50709		0
600		2.51289		0
640		2.40731		0
680		2.42566		0
720		2.0813		0
760		2.35344		0
800		2.36953		0
