N		gflops		error
40		4.74074		0
80		7.29865		0
120		34.4566		0
160		35.1286		0
200		35.5477		0
240		34.7905		0
280		32.6157		0
320		29.8094		0
360		32.5583		0
400		33.2511		0
440		32.6739		0
480		27.2139		0
520		25.1418		0
560		28.492		0
600		28.0992		0
640		22.1066		0
680		26.1003		0
720		25.4241		0
760		25.7487		0
800		24.8823		0
