N		gflops		error
40		2.84444		1.16032e-05
80		2.94507		3.72015e-05
120		3.3298		7.71903e-05
160		3.33415		0.000128169
200		3.29035		0.000189428
240		3.19689		0.000267307
280		3.14134		0.000344682
320		3.24997		0.000437038
360		3.1663		0.000538155
400		3.31383		0.000644626
440		3.16444		0.000763176
480		3.15396		0.000887058
520		3.3114		0.00101921
560		3.3436		0.00116225
600		3.22238		0.00131416
640		3.3094		0.00147115
680		3.29573		0.00163421
720		3.31422		0.00180489
760		3.25167		0.00198233
800		3.29762		0.0021717
