N		gflops		error
40		3.29049		1.12976e-05
80		4.2971		3.8678e-05
120		5.58591		7.81634e-05
160		5.1678		0.000128913
200		5.02813		0.00019204
240		5.0555		0.000263493
280		4.89083		0.000343674
320		4.83193		0.000435173
360		4.96158		0.000535248
400		4.8863		0.000646603
440		5.06156		0.000762015
480		4.89621		0.000888114
520		4.87033		0.00101912
560		5.04468		0.00116308
600		5.03258		0.00131358
640		4.91		0.00147263
680		4.9461		0.00163018
720		4.9358		0.00180634
760		4.98167		0.00198324
800		5.03438		0.00216798
